driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,teammate_delta_avg,race_count,year,forename,surname,driver_name,pca1,pca2,cluster,cluster_name,dbscan_cluster,era
10,1.9473684210526316,0.7368421052631579,2.758294243640972,-2.0,6.0,21.210526315789473,19.263157894736842,0.09181141439205956,0.0,19,2011,Timo,Glock,T. Glock,2.050267690231274,-0.8176989484635325,2,Consistent Climbers,0,2010+
13,-2.8947368421052633,0.21052631578947367,5.363402079962404,-14.0,1.1999999999999993,5.7894736842105265,8.68421052631579,-0.5,0.0,19,2011,Felipe,Massa,F. Massa,-2.959957522735543,-0.7997189095852496,1,Volatile Drivers,0,2010+
15,1.4444444444444444,0.6111111111111112,2.894664914514332,-2.0,5.300000000000001,19.555555555555557,18.11111111111111,0.07386363636363635,0.0,18,2011,Jarno,Trulli,J. Trulli,1.5368412743106639,-1.054851410830131,2,Consistent Climbers,0,2010+
16,0.6842105263157895,0.5263157894736842,4.61943516964463,-6.2,7.199999999999999,11.631578947368421,10.947368421052632,0.058823529411764705,0.0,19,2011,Adrian,Sutil,A. Sutil,0.709490316973969,0.2991971498767843,0,Midfield Stabilizers,0,2010+
17,-0.3684210526315789,0.3684210526315789,5.176984604057006,-2.2,1.1999999999999993,3.8421052631578947,4.2105263157894735,-0.0958904109589041,0.0,19,2011,Mark,Webber,M. Webber,-0.4998054513238133,-1.401335888348595,0,Midfield Stabilizers,0,2010+
18,-0.42105263157894735,0.47368421052631576,5.852974452491696,-4.6,3.599999999999998,4.526315789473684,4.947368421052632,-0.09302325581395349,0.0,19,2011,Jenson,Button,J. Button,-0.3177976101541536,-0.2958890298936158,0,Midfield Stabilizers,0,2010+
20,-1.4736842105263157,0.10526315789473684,5.2638011302842065,-1.2,0.1999999999999993,1.263157894736842,2.736842105263158,-1.1666666666666667,0.0,19,2011,Sebastian,Vettel,S. Vettel,-2.4980351584344764,-2.188345473352686,1,Volatile Drivers,-1,2010+
22,-0.05555555555555555,0.6111111111111112,4.0940735103923975,-4.8999999999999995,3.900000000000002,14.444444444444445,14.5,-0.003846153846153846,0.0,18,2011,Rubens,Barrichello,R. Barrichello,0.4810815144844756,-0.7684302217559938,0,Midfield Stabilizers,0,2010+
24,2.1666666666666665,0.6666666666666666,2.995094027788463,-1.0,5.900000000000002,22.61111111111111,20.444444444444443,0.09582309582309582,0.0,18,2011,Vitantonio,Liuzzi,V. Liuzzi,1.9830944173242422,-0.8659965302990004,2,Consistent Climbers,0,2010+
30,-2.7222222222222223,0.5555555555555556,7.789929815855064,-13.6,4.600000000000001,9.555555555555555,12.277777777777779,-0.28488372093023256,0.0,18,2011,Michael,Schumacher,M. Schumacher,-1.886283741352952,1.3111015680755256,1,Volatile Drivers,0,2010+
